,id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
30,6762820382,42491,3,1.75,7.444833273892193,8.898502209646642,1.0,0,0,3,7,7.444833273892193,0.0,1948,0,122014,52.9812,-114.471,7.72356247227797,9.08704215563169,1,72,13.045484492893253
31,6762820510,42491,3,2.5,7.893945138235959,8.61974977974133,2.0,0,0,3,8,7.893945138235959,0.0,2013,0,122025,52.7061,-113.924,8.003363058629947,8.705828110266784,2,74,13.038962203056485
34,6762821205,42491,4,2.25,7.6783263565068856,9.002085433155724,1.0,0,0,3,8,6.985641817639208,6.985641817639208,1966,0,122027,52.7743,-114.367,7.523481312573497,9.105090961257085,2,52,12.994532278619134
35,6762821206,42491,2,1.0,6.68586094706836,8.486940148245216,1.0,0,0,4,7,6.68586094706836,0.0,1944,0,122026,52.8939,-114.554,7.048386408721883,8.38160253710989,2,60,12.994532278619134
36,6762821318,42491,3,2.5,7.479299637782834,7.964155718840937,2.0,0,0,3,8,7.479299637782834,0.0,1990,0,122009,52.7931,-114.587,7.479299637782834,8.251663923605589,3,68,12.99441863605669
39,6762821444,42491,4,1.0,7.280008252884188,9.082620630373812,1.0,0,0,4,7,7.280008252884188,0.0,1954,0,122027,52.8046,-114.325,7.13966033596492,9.09862638234618,2,62,12.983103608918753
40,6762821632,42491,4,1.5,7.560601162768557,9.210440366976517,1.0,0,0,4,7,6.976348070447749,6.7464121285733745,1954,0,122027,52.8025,-114.323,7.280008252884188,9.290721483922995,2,64,12.971542813248437
41,6762822054,42491,3,2.25,7.601402334583733,8.991064332188461,1.0,0,0,4,8,6.90875477931522,6.90875477931522,1963,0,122029,52.8488,-114.304,7.635786861395585,9.018089684104343,1,61,12.948012371209098
42,6762822175,42491,3,1.5,7.359467638255621,8.81001204797317,1.0,0,0,4,7,7.359467638255621,0.0,1956,0,122030,52.8322,-114.324,7.359467638255621,8.895766604056085,3,78,12.945628585536271
43,6762822578,42491,3,2.5,7.565793282428515,9.25540933534376,2.0,0,0,3,8,7.565793282428515,0.0,1996,0,122015,52.7238,-114.351,7.736743682453495,9.015419779605713,1,63,12.917798665647773
44,6762822721,42491,3,2.0,7.581209826196346,9.48044384215367,1.0,0,2,5,8,7.409136443920128,5.739792912179234,1957,0,122031,52.6719,-114.53,7.581209826196346,9.260938424739274,3,72,12.90669432231532
47,6762823582,42491,4,1.75,7.353081920515432,9.071193240566025,1.0,0,0,4,7,7.353081920515432,0.0,1967,0,122033,52.9574,-114.371,7.640603826393634,8.987321812850125,3,74,12.854486546624395
48,6762824201,42491,4,3.0,8.042699496897637,8.886270902072013,2.0,0,0,3,8,8.042699496897637,0.0,1997,0,122023,52.5579,-114.381,7.944846711001996,8.897272113133987,3,66,12.814481318719762
49,6762824245,42491,3,1.0,6.994849985833071,8.769662508112274,1.0,0,0,4,7,6.994849985833071,0.0,1955,0,122034,52.7634,-114.555,7.201170883281678,8.769662508112274,3,80,12.807655372286902
50,6762825272,42491,3,2.0,7.565793282428515,9.388319179336001,1.0,0,0,4,8,7.565793282428515,0.0,1966,0,122035,52.5972,-114.341,7.696667081526462,9.459229639708807,2,66,12.742568940017076
51,6762825549,42491,2,2.0,7.208600337960199,7.848153086199526,1.0,0,0,3,8,7.208600337960199,0.0,1976,0,122005,52.8644,-114.297,7.490529402060711,7.848153086199526,1,77,12.721888795877375
52,6762825550,42491,3,2.25,7.365812837209472,9.693753688131835,1.0,0,0,4,7,7.365812837209472,0.0,1978,0,122036,52.7943,-114.087,7.280008252884188,9.693753688131835,3,56,12.721888795877375
53,6762826461,42491,3,1.0,7.057036981697891,9.1248914101437,1.0,0,0,3,7,7.057036981697891,0.0,1968,0,122037,52.9727,-114.262,7.057036981697891,9.23824732522919,1,52,12.660331092405906
54,6762826606,42491,3,1.5,7.201170883281678,8.976262255609193,1.5,0,0,3,7,7.201170883281678,0.0,1955,0,122038,52.9958,-114.529,7.300472814267799,8.97979449089521,3,65,12.653961664405365
55,6762826811,42491,2,1.0,6.7464121285733745,8.728264161496178,1.0,0,0,4,7,6.7464121285733745,0.0,1950,0,122014,52.9652,-114.518,7.00397413672268,8.728264161496178,1,60,12.639480363813412
56,6762827056,42491,3,2.5,7.840312983320164,8.527341522468053,2.0,0,0,3,7,7.840312983320164,0.0,2006,0,122035,52.5658,-114.245,7.732369222284388,8.527341522468053,2,64,12.611541086966115
58,6762827693,42491,3,3.0,7.523481312573497,9.901836189786897,1.0,0,0,4,7,6.994849985833071,6.634633357861686,1992,0,122024,52.5793,-114.224,7.252053951852814,8.812248018197431,2,58,12.567937598044296
59,6762827749,42491,4,2.5,7.696667081526462,9.14825217966276,2.0,0,0,3,8,7.696667081526462,0.0,1987,0,122039,52.5706,-114.459,7.745435610274381,9.124455632819013,3,80,12.560247968016562
60,6762827750,42491,3,2.5,7.645397699428633,9.29053691397046,1.0,0,0,4,8,7.215975002651466,6.594413459749778,1987,0,122040,52.5837,-114.493,7.467942332285852,9.059052257762401,2,56,12.560247968016562
61,6762827836,42491,3,1.75,7.496097345175956,10.047761041692553,1.0,0,0,3,7,7.496097345175956,0.0,1968,0,122041,52.8817,-114.096,7.252053951852814,9.807196892217842,3,62,12.556733038263905
62,6762828162,42491,3,1.5,7.074116816197362,9.237760967552175,1.0,0,0,3,6,7.074116816197362,0.0,1983,0,122025,52.718,-113.977,7.427144133408616,9.315150736328528,3,78,12.524530013005734
63,6762828790,42491,4,2.0,7.300472814267799,9.062536177207788,1.0,0,0,4,7,7.300472814267799,0.0,1974,0,122042,52.692,-114.383,7.664346632098617,9.048174321385792,1,60,12.468440756144114
64,6762828945,42491,3,1.75,7.223295679562314,8.675734219544788,1.0,0,0,3,7,7.223295679562314,0.0,1987,0,122043,52.6115,-114.503,7.244941546337007,8.922791623969637,3,56,12.460524923385575
65,6762829578,42491,3,1.5,7.0909098220799835,9.18204377282107,1.0,0,0,4,7,7.0909098220799835,0.0,1965,0,122035,52.6525,-114.343,7.2305631534092925,9.238441802087058,3,77,12.398761113062513
66,6762829789,42491,2,1.0,7.099201743553092,9.148571345578551,1.0,0,0,2,6,7.099201743553092,0.0,1949,0,122034,52.7642,-114.55,7.365812837209472,8.704004653483045,3,73,12.367345048436391
67,6762815750,42492,4,2.75,7.979681302387741,8.795733605950735,2.0,0,0,3,8,7.979681302387741,0.0,2012,0,122015,52.7209,-114.334,8.016647877057803,8.795733605950735,1,62,13.345508528717259
68,6762817521,42492,2,1.0,6.803505257608338,8.517393171418904,1.0,0,0,3,7,6.803505257608338,0.0,1944,0,122007,52.9183,-114.585,7.155396301896734,8.517393171418904,1,68,13.223115088821102
70,6762826674,42492,3,1.0,6.918695219020472,9.204925739274683,1.0,0,0,4,6,6.918695219020472,0.0,1973,0,122008,52.7624,-113.953,7.237778191923443,9.450223039294668,3,60,12.644330802262578
71,6762813188,42493,3,2.5,7.955425088912672,8.872206756028303,2.0,0,0,3,10,7.596392304064196,6.7580945044277305,1980,0,122044,52.833,-114.479,7.732369222284388,8.773384596776648,1,52,13.571527617101584
72,6762813282,42493,2,2.5,7.893945138235959,8.9082888855571,1.0,0,0,3,9,7.893945138235959,0.0,2004,0,122045,52.947,-114.216,7.7475968386928855,8.860215358901183,2,65,13.560619598657233
73,6762815716,42493,4,2.0,7.732369222284388,8.701346403039162,1.0,0,0,3,7,7.039660349862076,7.039660349862076,1900,0,122044,52.8334,-114.479,7.714677473800927,8.732465848349879,1,51,13.350297037805756
74,6762824246,42493,3,2.5,7.696667081526462,8.902591637374087,1.0,0,0,5,8,7.359467638255621,6.447305862541213,1988,0,122046,52.6695,-114.351,7.762596048540069,8.930361883909434,2,53,12.807655372286902
75,6762825730,42493,4,2.5,7.836369760545124,9.203718495667296,2.0,0,2,3,8,7.606387389772652,6.255750041753367,1990,0,122023,52.4954,-114.406,7.669028288589683,9.203718495667296,2,59,12.712742646644651
77,6762810615,42494,2,2.5,7.7057128238944275,8.294299608857235,2.0,0,0,3,9,7.7057128238944275,0.0,2000,0,122047,52.8664,-114.47,7.534228326274089,8.294299608857235,3,67,14.173185701536545
78,6762810636,42494,5,3.5,8.296795865770052,9.049114723476961,2.0,0,1,5,9,7.955425088912672,7.057036981697891,1971,0,122004,52.8878,-114.476,7.8674885686991285,8.720786883485731,1,50,14.151983508870947
80,6762811411,42494,5,2.75,8.068089626278244,9.736310733068626,1.0,0,3,3,9,7.43307534889858,7.313886831633462,1976,0,122027,52.7941,-114.35,8.03947991910045,9.48044384215367,1,53,13.845070331079134
82,6762812148,42494,4,4.25,8.394121193826242,8.657129031713755,2.0,0,0,3,10,8.134760782418645,6.918695219020472,2006,0,122012,52.7704,-114.263,8.394121193826242,8.657129031713755,1,57,13.698977865303197
84,6762812331,42494,4,3.0,8.213652703029998,9.199582715323222,2.0,0,0,3,10,8.213652703029998,0.0,1998,0,122020,52.8237,-114.172,8.14060704285845,9.332115428902103,3,62,13.670485941982712
85,6762812415,42494,4,2.75,7.8636512654486515,8.592486175451668,1.0,0,0,4,8,7.170888478512505,7.170888478512505,1960,0,122032,52.8682,-114.587,7.844240718141811,8.630700432209832,2,69,13.658857917508856
86,6762812659,42494,4,3.0,7.682943169878292,8.294299608857235,2.0,0,0,4,9,7.384610383176974,6.329720905522696,1982,2011,122047,52.8496,-114.482,7.421177528595393,8.294299608857235,3,73,13.630386277206295
87,6762812664,42494,4,2.5,8.131824785007195,9.179159254492609,2.0,0,0,3,9,8.131824785007195,0.0,2007,0,122005,52.938,-114.299,8.029758520440822,8.90598676523643,3,58,13.629182184591333
88,6762812761,42494,6,1.75,7.979681302387741,8.517393171418904,2.5,0,0,4,9,7.930565854233965,4.948759890378168,1908,0,122044,52.8324,-114.485,7.611347717403621,8.517393171418904,3,68,13.620712694725297
89,6762812961,42494,5,2.5,8.064950891749143,9.532930988916153,2.0,0,0,4,10,8.064950891749143,0.0,1990,0,122010,52.882,-114.372,8.064950891749143,9.532351404751555,1,76,13.593450169816983
90,6762812963,42494,3,2.5,8.083637203141548,8.969287400118406,2.0,0,0,3,10,8.083637203141548,0.0,1994,0,122020,52.8157,-114.228,7.9966538754626075,8.969287400118406,3,66,13.592368256649284
91,6762813152,42494,3,1.75,7.193685818395112,8.922791623969637,1.0,0,0,3,8,7.193685818395112,0.0,1961,0,122048,52.8374,-114.385,7.43307534889858,8.962007209588313,3,56,13.575984798046763
92,6762813210,42494,4,2.5,7.912423121473705,9.23815007261545,2.0,0,2,3,9,7.912423121473705,0.0,1996,0,122019,52.8527,-114.219,7.919719760924575,8.884748726451182,3,79,13.567050480716235
93,6762813361,42494,3,2.0,7.762596048540069,8.648396877031582,1.5,0,0,4,8,7.501634457883413,6.293419278846481,1939,0,122047,52.869,-114.5,7.682943169878292,8.699681400989514,1,77,13.554147092530322
94,6762813551,42494,4,2.5,7.659642954564682,9.230437073675304,1.0,0,0,4,7,7.390798521735676,6.2166061010848646,1960,0,122049,52.8158,-114.36,7.359467638255621,9.283869605264298,2,73,13.534474352733596
95,6762813766,42494,4,1.75,7.606387389772652,8.188966863648876,1.5,0,0,3,7,7.606387389772652,0.0,1902,0,122003,52.8637,-114.561,7.606387389772652,8.188966863648876,2,55,13.51440681653079
97,6762814206,42494,4,2.5,7.804251383528112,8.354203562921775,2.0,0,0,3,8,7.804251383528112,0.0,2013,0,122005,52.9348,-114.303,7.9966538754626075,8.452334619067742,1,75,13.476112645724857
98,6762814291,42494,3,2.5,7.820439515262181,8.37655086161377,2.0,0,0,3,9,7.820439515262181,0.0,2003,0,122011,52.7793,-114.183,7.664346632098617,8.320448113956559,3,59,13.466493361349034
99,6762814896,42494,3,2.5,7.427144133408616,7.601402334583733,3.0,0,0,3,9,7.427144133408616,0.0,1909,1998,122004,52.8904,-114.48,7.576097340623111,8.517393171418904,3,69,13.415034483903348
100,6762814966,42494,4,2.5,7.937731775260109,8.682877107057168,1.0,0,0,3,8,7.415175109613295,7.039660349862076,1963,0,122006,52.9109,-114.476,7.855932199718614,8.682877107057168,2,63,13.407543823396258
101,6762815131,42494,4,1.0,7.237778191923443,8.352554369474591,1.0,0,0,3,7,6.957497370876951,5.831882477283517,1924,0,122028,52.8896,-114.528,7.501634457883413,8.352554369474591,1,68,13.395593014723183
102,6762815226,42494,3,1.5,7.6783263565068856,9.105090961257085,1.0,0,2,4,8,7.244941546337007,6.634633357861686,1949,0,122050,52.9541,-114.559,8.010027528481734,9.105090961257085,2,75,13.384729180332174
103,6762815643,42494,4,2.5,7.80016307039296,8.802672840312818,2.0,0,0,3,9,7.80016307039296,0.0,2014,0,122007,52.9271,-114.561,7.208600337960199,8.942983665985647,2,77,13.356052725810846
104,6762815727,42494,4,2.25,7.596392304064196,8.950662495933999,1.0,0,0,3,8,7.099201743553092,6.660575149839686,1973,0,122012,52.7988,-114.277,7.450660796211539,8.908424139496578,3,61,13.348703414510117
105,6762815880,42494,3,1.75,7.300472814267799,7.689828668736484,2.5,0,0,3,9,7.300472814267799,0.0,2005,0,122033,52.9245,-114.36,7.300472814267799,7.80057265467065,2,52,13.3374763699232
106,6762815955,42494,3,2.0,7.496097345175956,8.517393171418904,1.0,0,0,4,7,6.985641817639208,6.580639137284949,1942,0,122006,52.9038,-114.487,7.496097345175956,8.517393171418904,1,69,13.335054087628247
107,6762815987,42494,4,1.75,7.741099090035366,9.367429587218957,1.0,0,0,4,9,7.581209826196346,5.831882477283517,1977,0,122005,52.8631,-114.284,7.951911381854188,9.392745258631441,3,50,13.329379172803593
109,6762816275,42494,3,1.75,7.53955882930103,8.757940876678804,1.0,0,0,4,7,6.947937068614969,6.734591659972948,1945,0,122006,52.9178,-114.476,7.479299637782834,8.728426091704613,2,57,13.304686600863562
110,6762816667,42494,2,1.0,7.479299637782834,9.0642735958414,1.5,0,0,3,6,7.327123292259293,5.5254529391317835,1949,0,122007,52.9226,-114.553,6.966967138613983,8.477412321404392,3,77,13.279368835614243
111,6762816779,42494,2,1.0,7.840312983320164,8.853808274977197,1.0,0,0,5,8,7.186144304522325,7.107425474110705,1942,0,122051,52.7559,-114.451,7.6783263565068856,8.699681400989514,3,77,13.270785106659046
112,6762817053,42494,3,2.25,7.606387389772652,8.699681400989514,1.0,0,0,3,8,7.193685818395112,6.523562306149512,1975,0,122005,52.9212,-114.305,7.640603826393634,9.019300924562506,2,78,13.25339339419516
113,6762817314,42494,3,2.5,7.550135342488429,9.076237387452702,2.0,0,0,3,8,7.550135342488429,0.0,1987,0,122019,52.85,-114.233,7.616283561580385,9.076237387452702,2,58,13.235693848424024
114,6762817450,42494,3,2.5,7.57095858316901,8.074649075066652,2.0,0,0,3,8,7.57095858316901,0.0,2009,0,122012,52.7944,-114.283,7.53955882930103,8.0323601479245,3,60,13.22672519452875
115,6762817755,42494,2,1.0,7.039660349862076,8.594339400592892,1.0,0,0,5,7,7.039660349862076,0.0,1908,0,122047,52.8505,-114.484,7.327123292259293,8.476579508530941,1,68,13.215855541983634
116,6762817756,42494,4,2.5,7.976251943745623,8.754476306284166,2.0,0,0,3,8,7.976251943745623,0.0,2008,0,122015,52.7104,-114.316,7.824445930877619,8.678971846978863,3,54,13.215855541983634
117,6762817929,42494,5,2.75,7.916078096302786,9.039196115772354,1.0,0,0,4,8,7.223295679562314,7.223295679562314,1960,0,122027,52.7863,-114.374,7.611347717403621,9.080687163749312,1,69,13.201407432744421
120,6762818543,42494,3,1.75,7.353081920515432,8.616314282284044,1.0,0,0,4,6,6.660575149839686,6.660575149839686,1944,0,122032,52.8815,-114.589,7.293697720601438,8.699681400989514,3,70,13.169248871698304
121,6762818924,42494,3,2.5,7.490529402060711,7.901377353792616,2.0,0,0,3,8,7.490529402060711,0.0,2010,0,122012,52.794,-114.283,7.544861068658458,8.0323601479245,1,79,13.141971868210181
122,6762819061,42494,4,1.0,7.635786861395585,8.925321416943886,1.0,0,0,3,7,7.057036981697891,6.814542897259958,1963,0,122029,52.862,-114.309,7.456454555176209,8.925321416943886,2,56,13.124363376072994
123,6762819262,42494,4,2.5,7.976251943745623,8.776475789346321,2.0,0,0,3,7,7.976251943745623,0.0,2006,0,122008,52.7702,-114.077,7.749753406274437,8.552367266423891,1,50,13.120363378739663
124,6762819312,42494,6,2.75,8.071218539969863,9.127067452782361,1.0,0,2,4,8,7.3783837129967145,7.3783837129967145,1953,0,122052,52.722,-114.554,7.7057128238944275,9.15915233520675,2,56,13.116950755559445
125,6762819594,42494,4,1.75,7.606387389772652,9.128262260940575,1.0,0,0,3,7,7.293697720601438,6.293419278846481,1977,0,122033,52.9506,-114.361,7.518064181233078,9.04793908261736,3,62,13.09722196411799
126,6762819620,42494,4,3.0,7.75833346749091,8.860641041773876,1.0,0,0,4,8,7.201170883281678,6.90875477931522,1979,0,122033,52.9606,-114.417,7.273092595999522,8.998260393017953,1,53,13.091906231773164
127,6762819874,42494,3,2.5,8.019941687677365,8.419800845407588,2.0,0,0,3,9,8.019941687677365,0.0,2007,0,122053,52.74,-114.375,7.890208213109961,8.448271745949816,2,79,13.077368103521614
128,6762820970,42494,4,2.0,7.300472814267799,8.254528881939745,1.5,0,0,5,7,7.300472814267799,0.0,1928,0,122038,52.9342,-114.542,7.300472814267799,8.254528881939745,1,73,13.015337030575438
129,6762821445,42494,5,2.0,7.518064181233078,9.13140538388804,1.0,0,0,4,7,7.340186835320115,5.707110264748875,1942,1958,122038,52.9608,-114.53,7.0909098220799835,8.566173813637858,3,78,12.983103608918753
131,6762822204,42494,3,2.0,7.252053951852814,8.704668113450987,1.5,0,0,4,7,7.252053951852814,0.0,1930,0,122028,52.9294,-114.537,7.252053951852814,8.748463629942055,2,51,12.94323910384853
137,6762822792,42494,2,1.75,7.65491704784832,9.161150127785412,1.0,0,0,2,7,7.65491704784832,0.0,1948,0,122014,52.9804,-114.496,7.300472814267799,9.161150127785412,2,77,12.899222326086994
138,6762822793,42494,2,1.0,6.734591659972948,8.614501373883236,1.0,0,0,3,7,6.734591659972948,0.0,1955,0,122016,52.7547,-114.581,7.396948602621014,8.614501373883236,2,79,12.899222326086994
139,6762823019,42494,3,2.5,7.7102051944325325,8.294299608857235,2.0,0,0,3,7,7.7102051944325325,0.0,1954,0,122054,52.8101,-114.496,7.1785454837637,8.294299608857235,3,78,12.896092440915037
140,6762823544,42494,5,2.5,8.036249942132116,9.453364978883542,1.0,0,0,3,8,7.467942332285852,7.201170883281678,1968,0,122018,52.5708,-114.525,7.473637108496206,10.16277015046621,2,63,12.860741437345885
141,6762823717,42494,4,1.75,7.58629630715272,9.147400572202308,1.0,0,0,5,7,7.039660349862076,6.7226297948554485,1960,0,122038,53.0071,-114.529,7.507141079727608,9.004053937728395,1,72,12.84779757601972
143,6762825311,42494,5,1.0,7.02197642307216,9.107532151994501,1.5,0,0,4,7,7.02197642307216,0.0,1962,0,122033,52.9596,-114.43,7.1785454837637,8.922791623969637,3,69,12.73670383776449
145,6762825869,42494,2,1.0,7.039660349862076,8.566173813637858,1.5,0,0,4,6,7.039660349862076,0.0,1949,0,122038,52.961,-114.531,7.280008252884188,8.566173813637858,2,65,12.706699437569211
146,6762825928,42494,4,2.5,7.771067086065406,8.77971129020447,2.0,0,0,3,9,7.771067086065406,0.0,1998,0,122023,52.5628,-114.363,7.85979918056211,8.722254235179681,3,60,12.700771936142122
147,6762826775,42494,4,2.75,7.745435610274381,8.517393171418904,2.0,0,0,3,7,7.745435610274381,0.0,2006,0,122024,52.5914,-114.225,7.591357046698551,8.517393171418904,3,68,12.644169499451689
148,6762826776,42494,3,2.5,7.53955882930103,8.966866554188723,2.0,0,0,3,7,7.53955882930103,0.0,1994,0,122042,52.6739,-114.38,7.501634457883413,8.976641306722456,3,52,12.644169499451689
149,6762827057,42494,3,2.0,6.957497370876951,9.21761385594268,1.0,0,0,3,7,6.957497370876951,0.0,1986,0,122055,52.9641,-114.166,7.030857476116121,9.219101877644755,3,56,12.611541086966115
150,6762827694,42494,3,1.0,7.280008252884188,8.699681400989514,1.0,0,0,4,7,7.280008252884188,0.0,1953,0,122051,52.7538,-114.477,7.065613363597717,8.774158291205957,2,61,12.567240979056246
152,6762829453,42494,3,1.75,7.560601162768557,9.13852208418571,1.0,0,0,3,7,6.90875477931522,6.825460036255307,1984,0,122039,52.5619,-114.457,7.528869256642251,9.042986242304014,3,54,12.409017571151187
153,6762829917,42494,2,1.0,7.0909098220799835,8.99516499031115,1.0,0,0,4,6,7.0909098220799835,0.0,1958,0,122043,52.6504,-114.514,7.0909098220799835,8.922791623969637,2,56,12.354496960983985
154,6762830263,42494,4,1.5,7.123672785204607,9.169622538697624,1.0,0,0,3,7,7.123672785204607,0.0,1971,0,122018,52.5506,-114.587,7.123672785204607,9.168788944817948,1,52,12.301387370778713
155,6762830332,42494,4,1.5,7.02197642307216,8.59932602095476,1.0,0,0,3,6,7.02197642307216,0.0,1969,2014,122035,52.5928,-114.277,7.048386408721883,8.576405051048084,3,77,12.300932724054114
157,6762830531,42494,5,2.0,7.62608275807238,9.23024103368252,1.0,0,0,3,6,7.266128779556451,6.431331081933479,1956,0,122043,52.6436,-114.523,7.57095858316901,9.062536177207788,1,73,12.25486757159303
158,6762830664,42494,2,1.0,6.698268054115413,8.876125585396185,1.0,0,0,5,6,6.698268054115413,0.0,1944,0,122056,52.7182,-114.515,6.994849985833071,8.876125585396185,2,75,12.235636302128867
159,6762831089,42494,3,1.75,7.307202314764738,9.222861652529854,1.0,0,0,4,7,7.307202314764738,0.0,1962,0,122039,52.5375,-114.474,7.819636302367592,8.513586695822125,1,55,12.122696471358964
161,6762810310,42495,5,5.0,8.409830673087738,9.237955539009157,2.0,0,0,3,10,8.27664912542186,6.329720905522696,2013,0,122048,52.8274,-114.392,7.820439515262181,9.237955539009157,1,68,14.403297778421795
162,6762810471,42495,4,3.25,8.232440158470336,9.298442820197728,1.5,0,0,5,9,7.783640596221253,7.215975002651466,1950,0,122004,52.8987,-114.454,8.14060704285845,9.310276200588783,3,62,14.272936037914342
163,6762810939,42495,4,2.25,8.157943507105037,8.840290669088972,2.0,0,0,4,10,7.732369222284388,7.099201743553092,1928,0,122032,52.8724,-114.597,7.840312983320164,8.736168065858228,1,61,14.0225255403564
164,6762811141,42495,4,2.75,8.12296471523406,9.000113045928519,1.0,0,3,3,9,7.58629630715272,7.244941546337007,1970,2014,122016,52.7532,-114.573,7.659642954564682,8.757940876678804,2,60,13.946539697563276
165,6762811335,42495,3,2.5,7.696667081526462,7.58629630715272,2.0,0,0,3,9,7.384610383176974,6.3818160174060985,2008,0,122013,52.8726,-114.517,7.544861068658458,8.16223106548118,3,65,13.864301674514206
166,6762811613,42495,3,2.5,7.897668150726906,8.305978210967302,3.0,0,0,3,10,7.897668150726906,0.0,2014,0,122007,52.9097,-114.575,7.621195162809845,8.517393171418904,1,65,13.794287942962585
167,6762811999,42495,3,3.5,8.013343181386672,8.314587291319576,2.0,0,0,3,9,7.640603826393634,6.846943139585379,1954,2004,122032,52.881,-114.599,7.630946580890459,8.537583881063972,1,60,13.721200977393528
169,6762813278,42495,4,2.5,8.019941687677365,8.768107539675803,2.0,0,0,3,8,8.019941687677365,0.0,2008,0,122005,52.9088,-114.307,8.019941687677365,8.962007209588313,2,57,13.561909087824318
